,Job Title,Position,qualifications,qualification types,skills,Company,Locations,Contract Type,Job Type,Date
92,Quantitative Analyst,Mid,"mathematics, computer science, engineering, actuarial science",Post Graduate,"sql, python,  r ",Bridgena Barnard Personnel Group,Johannesburg,Permanent,Full Time,2022-07-12
93,,Mid,,Bachelor's Degree,,Job Crystal,Cape Town,Permanent,Full Time,2022-07-05
94,Business Analyst,Mid,,Bachelor's Degree,excel,Kamo Placements CC,Pretoria,Fixed Term,Full Time,2022-07-05
95,Business Analyst,manager,,Bachelor's Degree,,Swan iT Recruitment Ltd,Cape Town,Fixed Term,Full Time,2022-07-11
96,Quantitative Analyst,senior,"engineering, actuarial science",Bachelor's Degree,"sql, python,  sas, excel",eSmart Recruitment CC,Johannesburg,Permanent,Full Time,2022-07-11
97,Quantitative Analyst,Mid,,Post Graduate,"python,  r , excel",Strategic Personnel,Johannesburg,Permanent,Full Time,2022-07-11
98,,manager,"mathematics, statistics",Bachelor's Degree,"sql, python, excel",Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-07-05
99,Business Analyst,Mid,,Bachelor's Degree,power bi,Perceptive Personnel,Johannesburg,Permanent,Full Time,2022-06-28
101,,Mid,,Bachelor's Degree,,HVM Accounting (Pty) Ltd,Other,Permanent,Full Time,2022-07-11
102,,manager,"mathematics, statistics, engineering",Bachelor's Degree,"sql, python",Network Recruitment - Finance Corporate,Johannesburg,Permanent,Full Time,2022-07-05
103,Quantitative Analyst,Mid,,Bachelor's Degree,,Transaction Capital Recoveries,Johannesburg,Permanent,Full Time,2022-07-05
104,Business Analyst,Mid,"computer science, information technology",Bachelor's Degree,excel,Salix Recruitment,Johannesburg,Permanent,Full Time,2022-06-28
105,Business Analyst,Mid,,Bachelor's Degree,,Emeron,Cape Town,Fixed Term,Full Time,2022-07-09
106,,Mid,statistics,Bachelor's Degree,excel,AGA Recruitment Specialists,Cape Town,Permanent,Full Time,2022-07-09
107,Operations Analyst,Mid,,Bachelor's Degree,sql,Futurelink Global Recruitment,Cape Town,Permanent,Full Time,2022-07-10
108,,Mid,statistics,Post Graduate,,Secondments,Johannesburg,"[All], Permanent",Full Time,2022-07-10
110,,Mid,,Bachelor's Degree,excel,Dananda Talent,Johannesburg,Permanent,Full Time,2022-07-12
111,,Mid,"statistics, information system",Bachelor's Degree,,Imizizi,Other,Permanent,Full Time,2022-07-08
112,Business Analyst,senior,,Bachelor's Degree,,Job Crystal,Johannesburg,Permanent,Full Time,2022-07-11
113,,Mid,,Bachelor's Degree,,HR Legend,Cape Town,Permanent,Full Time,2022-07-06
114,,Mid,,Bachelor's Degree,,Dananda Talent,Johannesburg,Permanent,Full Time,2022-07-11
